category,col1,col2,col3,col4,col5,col6,col7,col8,col9
全体を一括再生,×,素敵[な]・素敵です,すてきな,すてきです,すてきで,すてきだった,すてきじゃない,すてきじゃなかった,すてきならば
全体を一括再生,×,有名[な]・有名です,ゆうめいな,ゆうめいです,ゆうめいで,ゆうめいだった,ゆうめいじゃない,ゆうめいじゃなかった,ゆうめいならば
全体を一括再生,×,きれい[な]・きれいです,きれいな,きれいです,きれいで,きれいだった,きれいじゃない,きれいじゃなかった,きれいならば
全体を一括再生,×,元気[な]・元気です,げんきな,げんきです,げんきで,げんきだった,げんきじゃない,げんきじゃなかった,げんきならば
全体を一括再生,×,静か[な]・静かです,しずかな,しずかです,しずかで,しずかだった,しずかじゃない,しずかじゃなかった,しずかならば
全体を一括再生,×,便利[な]・便利です,べんりな,べんりです,べんりで,べんりだった,べんりじゃない,べんりじゃなかった,べんりならば
全体を一括再生,×,親切[な]・親切です,しんせつな,しんせつです,しんせつで,しんせつだった,しんせつじゃない,しんせつじゃなかった,しんせつならば
全体を一括再生,×,ハンサム[な]・ハンサムです,はんさむな,はんさむです,はんさむで,はんさむだった,はんさむじゃない,はんさむじゃなかった,はんさむならば
全体を一括再生,×,賑やか[な]・賑やかです,にぎやかな,にぎやかです,にぎやかで,にぎやかだった,にぎやかじゃない,にぎやかじゃなかった,にぎやかならば
全体を一括再生,×,名詞,辞書形,,,,,,
全体を一括再生,×,桜,さくら,,,,,,
全体を一括再生,×,仕事,しごと,,,,,,
全体を一括再生,×,生活,せいかつ,,,,,,
全体を一括再生,×,寮,りょう,,,,,,
全体を一括再生,×,レストラン,れすとらん,,,,,,
全体を一括再生,×,お仕事,おしごと,,,,,,
全体を一括再生,×,食べ物,たべものたべもの,,,,,,
全体を一括再生,×,町,まち,,,,,,
名詞,,,,,,,,
全体を一括再生,,,,,,,,
全体を一括再生,×,山,やま,,,,,,
全体を一括再生,×,所,ところ,,,,,,
